	question	label
0	Should I use Plotly or matplotlib for visualization?	
1	would this be better if we had dedicated reactions for good/bad questions/answers?	
2	@[redacted] Do you have any of the merch with the new logo done? If so can we see a link / picture?	
3	What are some libraries for data visualization in python?	
4	Has anyone seen the original Transformers movie?	
5	Neural networks can be programmed in both Tensorflow and PyTorch, true or false?	
6	What statistical distribution models intervals?	
7	How many neurons are contained within the human nervous system?	
8	why is it that a snowflake falls in the winter instead of the summer?	
9	What does a data science career path look like?	
10	When he attached the wires, they made a spark. Does he need more training?	
11	Could you explain the difference between Spark and Hadoop?	
12	Does anyone know if non-library buildings are open on campus?	
13	Is it possible to set up an API in AWS?	
14	Has anyone ever trained a transformer model for NLP?	
15	What is a simulation and how does it differ from machine learning modeling?	
16	Django or Flask?	
17	What's the difference between data science and data analytics?	
18	What are some people's favorite movies?	
19	The wise old oak tree helped you make a decision?	
20	What is the best way to learn Tableau and PowerBI?	
21	Which programming language is preferable for embedded systems, C or C++?	
22	should I just thumbs up every single message or what	
23	what is data science?	
24	and if we're not, why not?	
25	Where was the largest cluster of cases found this month?	
